id,expression,canonical_form,category,meaning_vi,context_or_pattern,ptnk_year,section,question,role,priority,study_mode,source_quality,source_note
id028,clear the decks,clear the decks,idiom,dọn dẹp/chuẩn bị để xử lý việc mới,clear the decks,2026,Language Use,26,correct_answer,P1,learn,transcription,"Q26"
id029,cut corners,cut corners,idiom,cắt xén/rút ngắn bằng cách bỏ qua tiêu chuẩn,cut corners,2026,Language Use,26,distractor,P1,learn,transcription,"Q26 option"
id030,draw lines,draw lines,idiom,vạch ra giới hạn,draw the line/draw lines,2026,Language Use,26,distractor,P2,learn,transcription,"Q26 option"
id031,on a hiding to nothing,on a hiding to nothing,idiom,ở thế gần như chắc chắn thất bại,on a hiding to nothing,2026,Language Use,30,correct_answer,P3,recognize,transcription,"Q30"
id032,out on a limb,out on a limb,idiom,ở thế cô lập/bấp bênh,out on a limb,2026,Language Use,30,distractor,P2,learn,transcription,"Q30 option"
id033,in the doldrums,in the doldrums,idiom,trì trệ/uể oải,in the doldrums,2026,Language Use,30,distractor,P2,learn,transcription,"Q30 option"
id034,dig one's own grave,dig one's own grave,idiom,tự chuốc lấy hậu quả nghiêm trọng,dig one's own grave,2026,Language Use,30,distractor,P1,learn,transcription,"Q30 option"
id035,cut one's losses,cut one's losses,idiom,chấp nhận dừng để hạn chế thua lỗ,cut one's losses,2026,Language Use,31,correct_answer,P1,learn,transcription,"Q31"
id036,burn one's boats,burn one's boats,idiom,tự cắt đường lui,burn one's boats,2026,Language Use,31,distractor,P2,learn,transcription,"Q31 option"
id037,bide one's time,bide one's time,idiom,kiên nhẫn chờ thời cơ,bide one's time,2026,Language Use,31,distractor,P1,learn,transcription,"Q31 option"
id038,raise the stakes,raise the stakes,idiom,tăng mức rủi ro/cược,raise the stakes,2026,Language Use,31,distractor,P2,learn,transcription,"Q31 option"
id039,at a disadvantage,at a disadvantage,fixed_expression,ở thế bất lợi,at a disadvantage,2026,Guided Cloze,57,correct_answer,P1,learn,transcription,"Q57"
id040,pit A against B,pit A against B,collocation,đặt A đối đầu với B,pit A against B,2026,Guided Cloze,53,correct_answer,P1,learn,transcription,"Q53"
id041,turn one's back on,turn one's back on,idiom,quay lưng với/bỏ qua,turn one's back on,2026,Guided Cloze,57-60,correct_answer,P1,learn,transcription,"Q57-60"
id042,cling to,cling to,phrasal_verb,bám vào/giữ chặt,cling to,2026,Guided Cloze,59,distractor,P1,learn,transcription,"Q59 option"
id043,abide by,abide by,phrasal_verb,tuân thủ,abide by,2026,Guided Cloze,59,distractor,P1,learn,transcription,"Q59 option"
id044,take something by storm,take something by storm,idiom,gây ảnh hưởng mạnh/gây bão,take by storm,2026,Open Cloze,71,correct_answer,P1,learn,transcription,"Q71"
id045,churn out,churn out,phrasal_verb,sản xuất hàng loạt,churn out,2026,Open Cloze,72-80,correct_answer,P1,learn,transcription,"Q72-80"
id046,hold accountable for,hold accountable for,fixed_expression,buộc/chịu trách nhiệm về,hold someone accountable for,2026,Open Cloze,80,correct_answer,P1,learn,transcription,"Q80"
id047,make an example of,make an example of,fixed_expression,trừng trị để làm gương,make an example of,2026,Writing,121,correct_answer,P1,learn,transcription,"Q121"
id048,go out like a light,go out like a light,idiom,ngủ thiếp đi ngay,go out like a light,2026,Writing,122,correct_answer,P1,learn,transcription,"Q122"
id049,under the impression,under the impression,fixed_expression,cứ nghĩ rằng/có ấn tượng rằng,under the impression that,2026,Writing,123,correct_answer,P1,learn,transcription,"Q123"
id050,dead in the water,dead in the water,idiom,không còn khả năng tiến triển/cứu vãn,dead in the water,2026,Writing,125,correct_answer,P1,learn,transcription,"Q125"
id051,par for the course,par for the course,idiom,điều bình thường/dễ đoán trong hoàn cảnh,par for the course,2026,Writing,126,correct_answer,P1,learn,transcription,"Q126"
id052,run afoul of,run afoul of,phrasal_verb,vi phạm/xung đột với quy định,run afoul of the rules,2026,Writing,127,correct_answer,P1,learn,transcription,"Q127"
id053,make headway,make headway,idiom,có tiến triển,make headway,2026,Writing,128,correct_answer,P1,learn,transcription,"Q128"
id054,foot the bill,foot the bill,idiom,gánh/chi trả hóa đơn hoặc chi phí,foot the bill,2026,Writing,129,correct_answer,P1,learn,transcription,"Q129"
id055,beyond recognition,beyond recognition,fixed_expression,đến mức không thể nhận ra,beyond recognition,2026,Writing,130,correct_answer,P1,learn,transcription,"Q130"
