id,expression,category,meaning_vi,ptnk_year,section,question,priority,source_note
id040,pit A against B,collocation,đặt A đối đầu với B,2026,Guided Cloze,53,P1,"Q53"
id041,turn one's back on,idiom,quay lưng với/bỏ qua,2026,Guided Cloze,57-60,P1,"Q57-60"
id042,cling to,phrasal_verb,bám vào/giữ chặt,2026,Guided Cloze,59,P1,"Q59 option"
id043,abide by,phrasal_verb,tuân thủ,2026,Guided Cloze,59,P1,"Q59 option"
id044,take something by storm,idiom,gây bão/gây ảnh hưởng mạnh,2026,Open Cloze,71,P1,"Q71"
id045,churn out,phrasal_verb,sản xuất hàng loạt,2026,Open Cloze,72-80,P1,"Q72-80"
id046,hold accountable for,fixed_expression,buộc/chịu trách nhiệm về,2026,Open Cloze,80,P1,"Q80"
id047,make an example of,fixed_expression,trừng trị để làm gương,2026,Writing,121,P1,"Q121"
id048,go out like a light,idiom,ngủ thiếp đi ngay,2026,Writing,122,P1,"Q122"
id049,under the impression,fixed_expression,cứ nghĩ rằng/có ấn tượng rằng,2026,Writing,123,P1,"Q123"
id050,dead in the water,idiom,không còn khả năng tiến triển/cứu vãn,2026,Writing,125,P1,"Q125"
id051,par for the course,idiom,điều bình thường/dễ đoán trong hoàn cảnh,2026,Writing,126,P1,"Q126"
id052,run afoul of,phrasal_verb,vi phạm/xung đột với quy định,2026,Writing,127,P1,"Q127"
id053,make headway,idiom,có tiến triển,2026,Writing,128,P1,"Q128"
id054,foot the bill,idiom,gánh/chi trả hóa đơn hoặc chi phí,2026,Writing,129,P1,"Q129"
id055,beyond recognition,fixed_expression,đến mức không thể nhận ra,2026,Writing,130,P1,"Q130"
