id,lemma,category,meaning_vi,ptnk_year,section,question,priority,domain,cefr_status,source_note
v020,irreconcilable,vocabulary,không thể hòa giải,2026,Language Use,19,P1,general,not_verified,"PTNK 2026 Q19 option"
v021,incorrigible,vocabulary,không thể sửa chữa/cải tạo,2026,Language Use,19,P2,general,not_verified,"PTNK 2026 Q19 option"
v022,insulated,vocabulary,cách ly/không chịu tác động từ,2026,Language Use,33,P1,general,not_verified,"PTNK 2026 Q33"
v023,fecund,vocabulary,màu mỡ/dồi dào khả năng sinh sản,2026,Language Use,34,P2,general,not_verified,"PTNK 2026 Q34"
v024,stimulus,vocabulary,kích thích tố/biện pháp kích thích,2026,Language Use,35,P1,academic,not_verified,"PTNK 2026 Q35"
v025,intrinsic,vocabulary,thuộc bản chất/cốt lõi,2026,Language Use,37,P1,academic,not_verified,"PTNK 2026 Q37"
v026,systemic,vocabulary,mang tính hệ thống,2026,Language Use,37,P2,academic,not_verified,"PTNK 2026 Q37 option"
v027,ingrained,vocabulary,ăn sâu/thâm căn cố đế,2026,Language Use,37,P1,general,not_verified,"PTNK 2026 Q37 option"
v028,trigger,vocabulary,gây ra/kích hoạt,2026,Guided Cloze,42,P1,general,not_verified,"PTNK 2026 Q42"
v029,evoke,vocabulary,gợi lên (cảm xúc/ký ức),2026,Guided Cloze,42,P1,general,not_verified,"PTNK 2026 Q42 option"
v030,apprehension,vocabulary,sự lo ngại/e ngại,2026,Guided Cloze,49,P1,academic,not_verified,"PTNK 2026 guided cloze"
v031,summarily,vocabulary,một cách nhanh chóng và dứt khoát,2026,Guided Cloze,51,P2,general,not_verified,"PTNK 2026 Q51"
v032,reinforce,vocabulary,củng cố/tăng cường,2026,Guided Cloze,52,P1,academic,not_verified,"PTNK 2026 Q52"
v033,scaffold,vocabulary,giàn giáo/nền tảng hỗ trợ,2026,Guided Cloze,58,P2,academic,not_verified,"PTNK 2026 Q58"
v034,exacerbate,vocabulary,làm trầm trọng thêm,2026,Guided Cloze,60,P1,academic,not_verified,"PTNK 2026 Q60 option"
v035,ingenuity,vocabulary,sự khéo léo/sáng tạo,2026,Open Cloze,64,P1,academic,not_verified,"PTNK 2026 Q64"
v036,marginal,vocabulary,bên lề/không thuộc dòng chính,2026,Open Cloze,67,P1,academic,not_verified,"PTNK 2026 Q67"
v037,insidious,vocabulary,ngấm ngầm và nguy hiểm,2026,Open Cloze,76-80,P1,academic,not_verified,"PTNK 2026 AI slop passage"
v038,rampant,vocabulary,tràn lan/không kiểm soát,2026,Open Cloze,80,P1,general,not_verified,"PTNK 2026 Q80"
v039,chronically,vocabulary,một cách dai dẳng/liên tục,2026,Reading,86,P1,general,not_verified,"PTNK 2026 Q86"
v040,plethora,vocabulary,rất nhiều/vô số,2026,Reading,passage 1,P1,academic,not_verified,"PTNK 2026 library passage"
v041,regrettably,vocabulary,đáng tiếc là,2026,Reading,85,P2,general,not_verified,"PTNK 2026 Q85"
v042,innate,vocabulary,bẩm sinh,2026,Reading,101,P1,academic,not_verified,"PTNK 2026 Q101"
v043,kinship,vocabulary,quan hệ họ hàng,2026,Reading,102,P2,social_science,not_verified,"PTNK 2026 Q102"
v044,lexicon,vocabulary,kho từ vựng,2026,Reading,103,P1,linguistics,not_verified,"PTNK 2026 Q103"
v045,prodigious,vocabulary,rất lớn/phi thường,2026,Writing,109-115,P2,general,not_verified,"PTNK 2026 word formation passage"
v046,condone,vocabulary,dung thứ/chấp nhận điều sai trái,2026,Writing,114,P1,general,not_verified,"PTNK 2026 Q114"
v047,livestock,vocabulary,gia súc,2026,Writing,114,P3,agriculture,not_verified,"PTNK 2026 Q114"
v048,confinement,vocabulary,sự giam giữ/hạn chế không gian,2026,Writing,115,P2,general,not_verified,"PTNK 2026 Q115"
v049,monumental,vocabulary,khổng lồ/vượt bậc,2026,Writing,Error Correction,P2,academic,not_verified,"PTNK 2026 error correction passage"
v050,incredulity,vocabulary,sự hoài nghi/không tin nổi,2026,Writing,106-115,P1,general,not_verified,"PTNK 2026 word formation passage"
